cannot describe
water features
sound system
sunny days
friday evening
crossed bridge
jelly fish
architectural details
salt flats
two three
sit bench
suffice say
green spaces
volunteers helpful
singing dancing
eating establishments
brother law
volunteers knowledgeable
summer love
review earn
army base
reasonable priced
best zoos
beach golf
super friendly
discounted tickets
natural setting
hardest part
smaller version
entry fees
stars sidewalk
natural bridges
hidden treasure
yayoi kusama
get chance
build bear
hidden gem
cable cars
palm tree
art jewelry
grab drink
fishermans wharf
worth effort
rented bikes
selling souvenirs
deyoung museum
felt rushed
nevada falls
kids aged
boarding surfing
pull offs
blows mind
jeep tour
yosemite national
toward end
family friends
worth noting
change clothes
homeless drug
coastal highway
castello di
strenuous hike
informational signs
la kings
strongly suggest
mid february
least lifetime
couple blocks
climb stairs
directly across
caught bus
ferry terminal
silver experience
walking around
wine drinker
steep stairs
military id
arrived early
holiday season
average person
challenging hike
abstract expressionism
walks life
gift shop
pinball machines
old grandson
shops cafes
mickey mouse
live music
band playing
ancient roman
wooden planks
north south
bridge connecting
th wedding
hollywood blvd
jedediah smith
wharf cannery
endangered animals
paddle boarding
pic nic
christmas vacation
grabbing bite
really neat
civic center
downtown san
less busy
definite must
hours touring
hearst castle
dollars per
avoid traffic
walkers joggers
penny machines
makes sense
leisurely pace
mr getty
loved seeing
gold panning
buy tickets
ever changing
always something
old buildings
amusement parks
words describe
cold swim
seats comfortable
mother law
propeller planes
eating drinking
variety stores
fast passes
state railroad
yummy food
pounding surf
vast majority
crowded weekends
based reviews
younger kids
better understanding
spanish architecture
added bonus
disney land
fully appreciate
month old
spent afternoon
de los
life aboard
setting sun
full moon
pines reserve
standby line
old granddaughter
east bay
rhinos giraffes
artist palette
fried chicken
less crowded
street entertainers
grassy areas
short video
antique shops
permanent collections
easy find
photo shoot
working order
prepared wait
miss opportunity
small caf
san bernardino
recent years
vice versa
absolutely breathtaking
oak trees
robert mondavi
store fronts
frida kahlo
uss midway
paid per
black white
across bay
fast lane
picture opportunities
light rail
residential area
wax museum
mind blowing
disneyland california
universal citywalk
audio tour
original buildings
use public
watching waves
angel stadium
otters sea
memorable experience
four hours
actual cables
birds eye
treated us
years ago
daughter law
low rider
cheese plate
eclectic collection
candy stores
art collection
boys ages
bayside trail
taken aback
pebble beach
william hearst
john williams
rolls royce
spur moment
sun rise
self guided
caravan safari
tee shirt
well educated
nicely decorated
motion sickness
truly magical
bring snacks
green lantern
california dreaming
cell phone
stores restaurants
metro rail
weather perfect
wandering around
kind boring
validate parking
nike missile
train buff
bring picnic
chinese new
nba game
oh mention
uss missouri
sterling vineyards
flash pass
old school
helpful informative
additional charge
dash bus
general public
events happening
flowers blooming
san salvador
camp snoopy
universal studio
rays sharks
alcoholic beverages
bell tower
extensive collection
safe distance
travel tips
wawona road
bird eye
architectural styles
try avoid
keep mind
portraits governors
beautifully maintained
favorite spots
chocolate covered
check calendar
wild animals
grant ave
bike riders
fresh produce
photo taken
favorite beaches
use bathroom
boudin bakery
every seat
currently construction
wait times
hard work
gustavo dudamel
irvine spectrum
kangaroo bus
impressive collection
lakers game
killer whales
stumbled upon
maritime museum
every direction
lookout point
thursday evenings
sea dragons
car enthusiasts
kids loved
train travel
let tell
share knowledge
active duty
fell love
harry potter
amazed beauty
birds butterflies
bus takes
basketball games
low season
user friendly
hours wandering
governor office
tourist attraction
well stocked
guest relations
aquatic animals
bread bowl
simply stunning
absolute must
old mining
oasis middle
gives opportunity
opening credits
read book
time warp
main reason
thankful vote
aboard ship
smile face
knotts scary
victorian homes
military planes
entertaining informative
restaurants nearby
financial district
disney concert
grounds immaculate
hope return
haight ashbury
climbing stairs
front door
one nicest
plan accordingly
million dollars
former president
deg f
rent bike
wines produced
wines taste
bike rentals
light display
grab coffee
degree heat
california academy
waited minutes
sweet tooth
food beverage
approximately miles
dining drinking
buying bottles
charge per
ocean ave
gloves cables
freeway series
mile roundtrip
serra chapel
taxi driver
dogs leash
anyone visits
every thursday
national register
turkey leg
panama pacific
dress warm
destroyed earthquake
downtown disney
big dipper
movie set
short walk
hitting like
aside least
vip experience
passed away
took grandkids
brand new
sandwiches salads
dining room
friday afternoon
upper falls
throughout year
marin headlands
animal shows
fog lifted
finding parking
year olds
anytime soon
snacks water
inches tall
hundreds years
camera phone
holding hands
got kick
coastal bluffs
construction going
kinetic art
end pier
two levels
walk thru
getting ready
items sale
bring cash
express pass
american girl
wide variety
parking garages
christmas tree
friday saturday
purchase tickets
new revolution
went specifically
local flavor
highest point
moderate difficulty
usual tourist
recommend attending
summer heat
runs length
griffith observatory
snow capped
five six
may seem
south north
indian canyons
brick treat
crooked street
reagan library
spectrum center
water fountain
fruits vegetables
want leave
big deal
picnic lunch
less traveled
vernal fall
wind blowing
drinking water
sporting events
let start
grey whales
giant dipper
piece heaven
costs dollars
pirates caribbean
thrill seeking
forward next
santa cruz
longer hikes
ragged point
forbidden journey
every minutes
boutiques restaurants
price admission
set camp
ansel adams
pipe organ
closed repairs
basking sun
baby giraffes
peaceful relaxing
half day
quite bit
sunday afternoon
saved us
degree view
variety marine
laid back
hb pier
zip lines
clear skies
non stop
spent couple
sweet treats
architecture design
let alone
sit relax
surrounding mountains
answering questions
large group
wild life
hardly anyone
lay land
old son
another review
air force
shelter island
mini donuts
date night
volcanic plug
plants trees
recommend stopping
funnel cakes
learn history
hot summer
traffic horrible
grab bite
advance online
hiking trail
half mile
june th
lego displays
american war
historic district
fair share
christmas decorations
right front
credit card
easiest way
domaine carneros
humble opinion
santa clarita
come alive
closer look
west cliff
read reviews
wax figure
north hearst
find somewhere
certain times
headed straight
musee mecanique
park rangers
say enough
miles round
iconic landmark
rainy day
highly recommended
recommend taking
chicken dinner
five stars
ride bike
well kept
sure check
general admission
came across
breathe taking
decorated halloween
every age
bottle wine
avoid crowds
eating places
police officers
surfers fisherman
snow melt
system works
reasonably priced
spending money
beautifully lit
america africa
aaa discount
could barely
never tire
multiple visits
way spend
zip line
window shopping
feat engineering
marina del
panoramic views
kick back
missile site
icing cake
saving grace
turn around
wear hat
freezing cold
costs per
information boards
lifeguards duty
headed south
second level
earl sandwich
recent trip
volleyball courts
twilight tour
orange ave
short hike
step back
blast past
atop hill
nautical history
court house
little dated
older ones
bay bridge
heading south
amazingly beautiful
staff courteous
reagan presidential
convenient location
traffic jam
weather conditions
body surfing
la philharmonic
mulholland drive
state park
morning avoid
moderately priced
educational entertaining
san simeon
reserve tasting
closed pm
wooden roller
vietnam wars
visually stunning
special effects
looking forward
ate dinner
price tags
whole thing
dress appropriately
two nights
pines gliderport
u army
lakers clippers
extremely busy
lighthouse keeper
wine making
shuttle bus
imax movies
advance tickets
hollywood boulevard
back forth
season pass
mirror room
infinity mirrors
right size
social media
plan staying
online advance
sara winchester
stars pavement
artists palette
airforce one
pony rides
pinot noir
home team
old mission
mirror maze
finally got
quirky shops
back tomorrow
need repair
among giants
ended spending
street musicians
pan handlers
transported another
would highly
power plant
wheel chairs
former military
guided tours
upper floors
bring backpack
thrill seeker
historical information
humpback whales
diego zoo
veterans memorial
tomb treasures
backstage tour
plenty space
stayed longer
three times
yrs old
skating rink
colored glass
extra cost
hiked murray
clothing stores
burns state
sattui winery
badwater lowest
knowledgable friendly
temporary exhibits
sorry say
perfect timing
best thing
main entrance
next door
clean restrooms
paved road
pleasant stroll
ate lunch
hands activities
close proximity
officers club
blue dolphins
catch bus
infinity room
adults kids
young man
mcway falls
diana exhibit
trying find
alamo square
historical buildings
getty villa
two days
bridalveil fall
crissy fields
hard core
turn outs
knowledgeable friendly
pre purchased
son loved
farther away
cape buffalo
hop trolley
due renovations
botanical gardens
centrally located
valley floor
break hustle
citadel outlets
stunningly beautiful
staff members
rock formation
top vernal
something new
rotating tram
worth visit
wedding party
unforgettable experience
neptune pool
architectural design
veil falls
balboa bar
month advance
botanical garden
th birthday
late january
well appointed
reagan presidency
year round
really enjoyed
third base
roar snore
sand dollars
comfortable shoes
different angle
needless say
eyes open
boats ships
well curated
christmas holidays
much nicer
sand surf
photo op
nothing special
strongly recommend
bought tickets
school groups
nearly every
brought back
hippie movement
howland hill
food stands
automotive museum
private tour
madame tussaud
hand answer
keep occupied
merry go
music dancing
wedding photos
sat watched
saturday market
rush hour
credit cards
well informed
value money
end wharf
science center
outlet mall
dodgers game
parking tough
knowledgeable helpful
sleeping beauty
vintage aircraft
lombard street
point lobos
lasts minutes
india china
ghost town
architectural masterpiece
authentic italian
food booths
armstrong woods
weeks advance
cannot justice
oncoming traffic
huge amount
cultural experience
docents helpful
located heart
coat check
southern ca
wooden rollercoaster
africa tram
break bank
model disneyland
ticket online
state capital
place earth
thing morning
signs telling
book tickets
tropical fish
harbor seals
main attraction
north end
well signposted
superman ultimate
super crowded
various exhibits
tours offered
tap card
friendly helpful
old fashion
mixed bag
venice canals
right middle
yuma prison
children adults
parking difficult
ships boats
national recreation
grand canyon
mid afternoon
heavy snow
makes feel
fortunate enough
finding spot
spanish bay
yosemite valley
boogie board
opera house
along river
knowing expect
guest services
otters dolphins
cotton candy
padres game
later afternoon
sandy beaches
heading towards
traffic jams
health issues
tourist spot
ferry across
cove state
photo ops
glory days
crowded noisy
volleyball nets
make reservation
wednesday afternoon
lamp posts
never know
take pics
vintage clothing
academy science
holiday inn
marine layer
record stores
restaurant choices
san luis
coin operated
parking available
trinket shops
hawk hill
johnny rockets
foot traffic
teenage son
gets hot
playground kids
shallow water
clint eastwood
well behaved
small children
stayed hotel
go early
fresh fruits
willing share
shop til
old sac
bonita lighthouse
stories told
village fest
decades ago
diego bay
paradise pier
shop sells
dire wolves
officer club
could possibly
moved quickly
enjoyed strolling
yoda fountain
guides helpful
grand daughter
taste wine
european paintings
grab snack
job making
disney fans
style architecture
la brea
art deco
halloween haunt
wedding ceremony
well presented
playing water
hanging around
simon museum
lamp district
various parts
balboa peninsula
visitor center
natural wonder
ice skating
throughly enjoyed
bike rental
bowling alley
south end
white headstones
justice league
huntington mansion
model ships
balloon ride
call ahead
falls flowing
whales spouting
arcade machines
served midway
overlooking pacific
several occasions
year old
heart downtown
floor ceiling
seals laying
bank account
chavez ravine
ahead online
staff accommodating
steep hills
otters playing
look outs
touristy shops
none less
hard rock
rama epic
used uber
guide extremely
desert zoo
half moon
long queue
takes breath
sydney opera
safari truck
rock face
well maintained
thank goodness
taken care
needs tlc
black friday
overly impressed
winchester rifle
giant forest
gives appreciation
discovery kingdom
bird rock
earlier year
native americans
train ride
janis joplin
locals alike
rode rides
dark cell
gilded age
hard beat
truly spectacular
public restrooms
everyone knows
united states
renting bikes
multi level
good selection
coronado hotel
horseback riding
breakfast lunch
grand central
would suggest
different countries
seals pups
price reasonable
frozen banana
mile loop
worth seeing
lucky enough
information centre
never ending
coastal trail
focal point
marin headland
milky way
yes touristy
tour buses
exceeded expectations
wizarding world
signs posted
watch listen
relaxed atmosphere
devil golf
collection asian
permanent collection
crystal cove
sky tram
several hundred
per hour
especially compared
check bucket
manhattan beach
traveler tip
ended buying
back soon
make effort
chair lift
degree weather
definitely return
music playing
time capsule
places earth
cheesecake factory
excellent job
delightful surprise
winding roads
arrive early
every moment
playing sand
tie dye
originally built
pieces art
trail heads
last month
aircraft carrier
moonstone beach
gutenberg bible
favorite celebrities
trail goes
comfy shoes
game dodger
took ferry
writing review
ranger talk
zip lining
kiddie rides
rental car
closed refurbishment
air conditioning
benches sit
gardening gloves
parking spaces
fairly reasonable
miles away
laying around
sat outside
monterey carmel
capital building
love hate
listening music
short sweet
ball park
sign says
works art
lines long
springs thursday
strolled along
physical shape
disney universal
fee per
scenic route
plenty seating
dolphin orca
mexican restaurants
california science
tea house
jump cliff
toilet facilities
sea otter
yacht club
take breaks
age group
get closer
kept secret
catholic church
well lit
blue bottle
san antonio
ended getting
bike paths
wineries napa
trading post
pfeiffer beach
valley lodge
every minute
limited mobility
stretch legs
coastal views
top jeep
labrea tar
michael kors
naval history
sight lines
enjoyed immensely
first hand
hundred feet
catch glimpse
tourist traps
island ferry
sure bring
mostly flat
wet slippery
dolphins swimming
mexican american
unobstructed view
la jolla
felt like
really liked
music concourse
make sure
like stepping
chocolate sundae
hired bikes
managed get
somehow managed
sunset sunrise
attend concert
field trips
japanese chinese
minute film
brea tar
customer service
teenage boys
gothic style
view lake
post office
early settlers
edvard munch
park closes
stretch coastline
cypress grove
eating options
daylight hours
check website
jazz festival
fly kite
certain days
camp sites
conveniently located
end route
extremely helpful
overly crowded
base falls
family reunion
th anniversary
barking sea
every angle
fills quickly
master commander
mount soledad
purchased tickets
disney store
volunteers answer
mess hall
gives feeling
lots homeless
problem finding
murray canyon
sea urchins
parking nightmare
problem getting
moderate hike
dress accordingly
cheap seats
nooks crannies
new guinea
hire bike
scenes tour
well laid
diner end
discount tickets
viet nam
escape hustle
right beside
buy annual
feeding giraffe
pull outs
hockey game
let us
ski resort
dodger fan
plenty benches
tourist trap
docents knowledgeable
wet suits
aquatic life
always changing
redwood forests
quaint shops
visitors centre
different kinds
give stars
took mins
mammal center
oceanside pier
elevator ride
aids chapel
could spent
anyone loves
baseball stadium
african american
strollers wheelchairs
fairmont hotel
catching waves
west side
carlos almaraz
historical site
stop admire
hoover tower
fast pass
public library
bring poncho
seal viewing
best bet
car break
spend afternoon
grant grove
james dean
titanic exhibition
horse drawn
variety animals
winter spring
spanish mission
leisurely stroll
animals active
grilled cheese
either side
large groups
across bridge
amazed size
service men
parked car
longest wait
camp ground
feet tall
upon arrival
places sit
seem happy
patio seating
dating back
sky ride
one favorites
bottom falls
point loma
hands experiences
closed due
western hemisphere
santa barbra
locals tourists
central california
tickets advance
answers questions
brings back
surrounding area
beat heat
greek theatre
video game
edge cliff
making process
glad decided
science museums
surrounding areas
high tech
calm serene
right across
sail boats
universal studios
birds flying
temporary exhibitions
wander round
broad range
monterey peninsula
annual membership
aquarium planetarium
downtown los
rock roll
places dine
stain glass
bubba gump
knowledgeable funny
pack picnic
tasting rooms
beer wine
lived near
watch step
teenagers adults
minnesota nice
vantage points
modern contemporary
little nervous
jolla cove
every turn
recommend getting
munch exhibit
sheer beauty
lowest point
nob hill
cast members
football game
club level
lighthouse cabrillo
low tides
multiple times
sight behold
absolutely loved
glass wine
opposite side
mlb stadium
free admission
animal lovers
helpful staff
heart rate
spending hours
back home
twenty minutes
manta rays
stayed overnight
force one
old growth
book advance
certain areas
later day
keep eyes
central market
ticket validated
type stuff
giraffes rhinos
definitely recommend
last year
along seawall
per car
slow moving
close personal
roosevelt hotel
nicest beaches
impressionist post
fudge sundaes
drop offs
shopping eating
things changed
crazy busy
ball game
seattle san
well organized
venice canal
disney world
along coastline
outdoor seating
laguna beach
stories tell
wide selection
let face
tv shows
toy train
one prettiest
awe inspiring
good value
mixed feelings
desert oasis
additional cost
san pedro
food stalls
two blocks
huge fan
makes difference
absolute favorite
blown away
feet diameter
wide open
mi km
along waterfront
top mountain
victorian architecture
main floor
madam tussauds
souvenir cup
job giving
concession stand
people trying
sea gulls
change pace
sunny afternoon
ferry boat
smell urine
mid range
waves roll
feast eyes
ticket booth
fishing pier
photography opportunities
wine pairing
homeless folks
vast collection
sarah lucas
may want
grandchildren ages
keeper quarters
put together
without feeling
little pricy
father law
concert hall
without paying
reasonable prices
much easier
viewing points
grace cathedral
world color
least hours
liberty station
monterey bay
simply amazing
kids play
standing line
hollywood sign
prices higher
wedding anniversary
look forward
open pm
spent whole
gardens fountains
climbing wall
runyon canyon
seen tv
walt disney
might want
friday morning
golden canyon
club member
military aircraft
current exhibit
prices outrageous
prado restaurant
vip pass
turn left
places planet
decided give
mental health
one favourite
wine tastings
wear sturdy
food vendors
heisler park
movie theater
stunt show
mac cheese
soviet sub
old girl
broken glass
transported back
say hello
fan zoos
depending upon
picture taking
path goes
fond memories
san deigo
coit tower
western art
silver mining
space capsules
people fishing
dolphins seals
dodger stadium
ticket prices
guide knowledgable
bike skate
children ages
feel like
elementary school
j paul
long waits
located near
wear comfy
tuesday thursday
hiking trails
parking scarce
weekly event
italian restaurant
klimt rodin
exotic animals
paintings sculptures
dante view
place unwind
cost cents
years later
animals natural
turned away
seagulls pelicans
taking pictures
shorter lines
orange county
son wanted
get lost
las brisas
paid extra
korean war
monday tuesday
arts crafts
annual passes
history buffs
plan spend
watering hole
stood line
retired air
shopping malls
went weekday
walk around
front doors
legion honor
roller coasters
art museums
jam packed
first floor
town temecula
badwater basin
stunning views
running shoes
line ups
kate spade
th hole
fort rosecrans
imax movie
curvy roads
able wander
gg bridge
much longer
feed giraffes
tidal pools
waited line
whale watch
appreciate beauty
fully restored
watched surfers
jeff koons
completely different
nothing else
university campus
collection european
beyond description
giant redwoods
staff member
back someday
observation tower
elevator top
collection contemporary
acted like
impressed quality
palm canyon
dodgers stadium
mystery shack
lunar new
points interest
volunteer guides
riding cable
went tuesday
school children
tribute served
thousands years
ended staying
family four
beaux arts
middle nowhere
kansas city
use caution
sequoia np
waste money
saturday night
made mistake
wax figures
ships submarines
first rate
frozen show
rich history
overlooking ocean
relatively small
reservations ahead
v sattui
would advise
ice age
formal gardens
loop trail
war memorial
take leisurely
took lyft
bloody mary
currently closed
mountain ranges
dates back
mccovey cove
families children
could tell
catch breath
flight home
never ceases
cafeteria style
admission free
encountered friendly
coronado bridge
full swing
animal hospital
conservation efforts
couples families
taking photos
worst part
night lit
blew away
napa sonoma
holiday weekend
bottle water
back memories
little mermaid
food drinks
never seen
playing games
reserve n
oval office
ten bucks
highly recommend
monet early
back yard
maze pass
months advance
delta king
authentic mexican
bit challenging
sports bar
marine life
dessert wines
top moro
princess diana
closed renovation
sit rest
transcontinental railroad
behind counter
shuttle endeavor
last minute
temporary exhibition
quarter mile
penny arcade
sun sets
vista point
san diego
sort thing
time constraints
across street
degrees f
dining establishments
stanford university
cart safari
needs update
bars cafes
spray falls
different types
oil company
telling story
outdoor patio
well staffed
king kong
spent hour
take picture
oasis desert
bit pricy
bit challenge
train stations
tower terror
hand rails
huge disappointment
fills fast
clippers game
infinity mirror
south entrance
middle aged
ancient trees
heading north
fear heights
ride closures
historic building
ice creams
heavy rain
crystal pier
clean safe
bustle city
avery brundage
per ticket
learning history
turn century
first timers
last weekend
public restroom
handicap parking
many times
wait return
hat sunscreen
waters edge
blow away
specialty stores
kids teens
italian food
every corner
john wayne
palos verdes
special events
chowder bread
buying tickets
beaten track
trolley bus
history buff
fish sharks
swallows return
learning experience
inner workings
monica venice
simi valley
highly suggest
went monday
santiago calatrava
yosemite falls
toy story
majestic trees
multi million
field trip
games played
particularly enjoyed
mendocino coast
winery napa
told us
space shuttle
chinese theatre
thoroughly enjoyed
national cemetery
last years
sting rays
degrees colder
animal enclosures
visited twice
ahead time
blow mind
hungry thirsty
low riders
high quality
numerous times
roller coaster
wheel chair
spend least
bit rough
movie clips
boy scout
left field
presidential libraries
dark harbor
young lady
toilet paper
sheer size
ships subs
john steinbeck
unlike anything
along route
born raised
del coronado
chinese gardens
eat drink
happy travels
information provided
brett hastings
beach combing
rent kayaks
water refill
carlsbad state
spring break
snack shack
vernal falls
clear day
box seats
snacks drinks
glad made
picnic tables
body worlds
movie theaters
swim surf
aerial tramway
cheese pairing
sf moma
families couples
life size
grocery store
wild flowers
parking problem
workings cable
list things
rainforest cafe
bit dated
goes miles
long sleeve
sides road
alcatraz island
young adult
hang gliding
anyone else
sea anemones
hard earned
bring blanket
like button
counter culture
breathtakingly beautiful
ghiradelli square
cannery row
list item
come back
earlier morning
take advantage
various types
new guardians
concession stands
decent sized
harbor cruise
web site
real life
gift store
restaurant called
tioga pass
science museum
giraffe feeding
combo ticket
dolby theater
winding road
national treasure
give birth
world class
peak times
stroll along
studios hollywood
pacific coastline
people watching
contemporary art
summer season
peregrine falcons
breath fresh
long ago
employees friendly
flight deck
photo opportunity
upper yosemite
new england
japanese friendship
paved paths
couple days
higher end
shark feeding
american art
rocks slippery
never experienced
county fair
ropes courses
ocean avenue
away hustle
rain gear
well worth
wished could
afternoon evening
walking dogs
dropped us
miles south
son loves
meats cheeses
changed since
swift boat
crissy field
paseo nuevo
girls trip
fast furious
model trains
walking jogging
kelp forest
cabrillo monument
different colours
wine country
helpful please
picture taken
general highway
food drink
two teenage
pretty darn
knowledgeable eager
recommendations new
air hockey
wax museums
side note
seals babies
totally worth
vending machines
restaurants choose
top gun
known artists
free shuttle
local artists
start saying
senior discount
shuttle service
heaven earth
grade school
glider port
stayed till
important part
special treat
feel welcome
historic site
six seven
walk jog
knick knacks
depending weather
signature tour
lake tahoe
photo opportunities
pixar pier
poor value
main street
th century
cannot wait
new orleans
foot hand
salt flat
late night
craft beers
giants play
take breath
club members
interactive exhibits
basketball game
post card
juan rodriguez
base side
map provided
ticked bucket
plenty room
deli picnic
tribute veterans
dave busters
tide pools
vietnam war
winter months
phone number
pearl harbor
world largest
gem mineral
arts theatre
public transport
recommend staying
famous painted
watch gliders
expectations high
red woods
tennis shoes
seen anything
much bigger
school house
old sacramento
legion honour
prices vary
clean inviting
allow enough
warming hut
frank gehry
ropes course
wear sunscreen
highland mall
north side
tiny pieces
narrow road
got lucky
keeps getting
nicely restored
ferris wheel
alcatraz cruises
real gem
block away
pueblo de
cell block
hopper pass
desert garden
flip flops
state capitol
rock climbing
french dip
porta potties
switch backs
monday afternoon
spent hours
shop eat
feeding giraffes
cable car
sunscreen hat
lines moved
boutique shops
olive oil
holiday twilight
korea vietnam
life guard
crookedest street
taught us
hollywood vine
flea market
beautifully kept
walking trails
escape heat
paying extra
base tower
ninjago ride
feed fish
observation deck
waiting line
paying per
fire pits
even better
look closely
tuesday month
kings canyon
high end
balboa island
grateful dead
better yet
tourists locals
whales dolphins
specialty shops
head towards
effects show
fortune tellers
wide ranging
breath away
badwater road
reasonable price
temecula olive
knowledgeable staff
ferry sausalito
hms surprise
people milling
trails lead
eyvind earle
parking fills
drinks expensive
diverse collection
mid week
places grab
porta potty
nevada fall
russian submarine
peace quiet
dollar homes
street promenade
sea world
could afford
fellow traveler
temporarily closed
children alike
marine mammal
baseball team
underground parking
ample parking
man made
dinosaur exhibits
something everybody
queen mary
carmel sea
currently undergoing
boogie boarding
winchester house
open air
wooden sidewalks
various points
recommend visiting
shark tank
well designed
expecting something
never knew
stay long
saturday farmer
fright fest
twenty years
buy ticket
navy ships
ferry landing
high hopes
night lights
muir trail
garden japanese
teenage daughter
tree lined
russian sub
stroller wheelchair
fortune cookie
beautifully restored
smoked salmon
high speed
reminded us
capitol building
get tired
tickets sold
watch sunset
late june
old western
full bloom
farmers markets
given tips
asian culture
different parts
set aside
th grade
friend told
rose gardens
nicely done
tri tip
different angles
drive thru
pacific grove
pedestrian friendly
expo line
feet sea
extremely knowledgeable
riding bikes
much better
laser tag
disappointed lack
silver bullet
santa rosa
playing guitar
smaller ones
worth spending
spend entire
old fashioned
east west
non existent
plants animals
summer months
need pay
live performances
ground level
staff attentive
largest tree
scary farm
sterns wharf
undergoing renovation
various aspects
military fort
four mile
bottom hill
worth stopping
rd floor
zoo safari
houses painted
pony express
drinking fountains
modern art
lived closer
locals fishing
palm trees
popular spot
interesting facts
long lines
red white
ocean breeze
light house
handing samples
walking shoes
especially liked
tide pool
well documented
favorite places
next year
farmer market
special exhibits
th floor
every inch
grave markers
well equipped
african animals
south lake
buena vista
lunch snack
canyon trail
staying overnight
clearly marked
native american
natural habitat
wild animal
best part
outlet stores
getty center
breath taking
hands exhibits
candy shops
abbot kinney
within block
brand names
apple store
main road
get bored
turn right
mid august
healthy choices
hot chocolate
boat ride
adults alike
painted ladies
de young
amtrak train
zabriskie point
street fair
